stoloc,arecod,arecod_stoloc
D249A,RACK,RACKD249A
CC268A,RACK,RACKCC268A
N144A,LAPCKL,LAPCKLN144A
E256F,RACK,RACKE256F
N204B,RACK,RACKN204B
N206B,RACK,RACKN206B
N208B,RACK,RACKN208B
X101A,RACK,RACKX101A
M205A,LAPCKL,LAPCKLM205A
WOSSTG09,VAS,VASWOSSTG09
WOSSTG10,VAS,VASWOSSTG10
WOSSTG11,VAS,VASWOSSTG11
WOSSTG12,VAS,VASWOSSTG12
LTLDOOR24,DOCK,DOCKLTLDOOR24
M203A,LAPCKL,LAPCKLM203A
U100A,RACK,RACKU100A
CP148E,RACK,RACKCP148E
CP132E,RACK,RACKCP132E
CP122G,RACK,RACKCP122G
CP114E,RACK,RACKCP114E
CP110A,RACK,RACKCP110A
CP120A,RACK,RACKCP120A
CP122A,RACK,RACKCP122A
CP124A,RACK,RACKCP124A
CP180A,RACK,RACKCP180A
CP110B,RACK,RACKCP110B
CP150B,RACK,RACKCP150B
CP154B,RACK,RACKCP154B
CP176B,RACK,RACKCP176B
CP104C,RACK,RACKCP104C
CP112C,RACK,RACKCP112C
CP130C,RACK,RACKCP130C
CP162C,RACK,RACKCP162C
CP164C,RACK,RACKCP164C
CP172C,RACK,RACKCP172C
CP178C,RACK,RACKCP178C
CP124D,RACK,RACKCP124D
CP174D,RACK,RACKCP174D
CP190D,RACK,RACKCP190D
CP102E,RACK,RACKCP102E
CP104E,RACK,RACKCP104E
CP122E,RACK,RACKCP122E
CP140E,RACK,RACKCP140E
CP150E,RACK,RACKCP150E
CP172E,RACK,RACKCP172E
CP186E,RACK,RACKCP186E
CP138F,RACK,RACKCP138F
CP142F,RACK,RACKCP142F
CP158F,RACK,RACKCP158F
CP104A,RACK,RACKCP104A
CP108A,RACK,RACKCP108A
CP170F,RACK,RACKCP170F
CP112A,RACK,RACKCP112A
CP114A,RACK,RACKCP114A
CP116A,RACK,RACKCP116A
CP172F,RACK,RACKCP172F
CP180F,RACK,RACKCP180F
CP126A,RACK,RACKCP126A
CP128A,RACK,RACKCP128A
CP130A,RACK,RACKCP130A
CP132A,RACK,RACKCP132A
CP134A,RACK,RACKCP134A
CP136A,RACK,RACKCP136A
