x1,x2,x3
0.01,1,-0.1
0.02,2,-0.2
0.03,3,-0.3
0.04,4,-0.4
0.05,5,-0.5
0.06,6,-0.6
0.07,7,-0.7
0.08,8,-0.8
0.09,9,-0.9
0.1,10,-1
0.11,11,-1.1
0.12,12,-1.2
0.13,13,-1.3
0.14,14,-1.4
0.15,15,-1.5
0.16,16,-1.6
0.17,17,-1.7
0.18,18,-1.8
0.19,19,-1.9
0.2,20,-2
0.21,21,-2.1
0.22,22,-2.2
0.23,23,-2.3
0.24,24,-2.4
0.25,25,-2.5
0.26,26,-2.6
0.27,27,-2.7
0.28,28,-2.8
0.29,29,-2.9
0.3,30,-3
0.31,31,-3.1
0.32,32,-3.2
0.33,33,-3.3
0.34,34,-3.4
0.35,35,-3.5
0.36,36,-3.6
0.37,37,-3.7
0.38,38,-3.8
0.39,39,-3.9
0.4,40,-4
0.41,41,-4.1
0.42,42,-4.2
0.43,43,-4.3
0.44,44,-4.4
0.45,45,-4.5
0.46,46,-4.6
0.47,47,-4.7
0.48,48,-4.8
0.49,49,-4.9
0.5,50,-5
